Hardware,Num of Hardware,Framework,Model,Input Output Length,Batch Size,Latency,Throughput,area,avg_power,sum_power,Throughput_per_watt_area,Throughput_per_watt_avg,Throughput_per_watt_sum
Habana Gaudi2,1,Deepspeed,meta-llama/Llama-2-7b-hf,256,32,3.5500679300166667,4615.122956231173,,783584.9333333333,,,0.005889754588055512,
Habana Gaudi2,1,Deepspeed,meta-llama/Llama-2-7b-hf,512,32,9.59483114501927,3415.1721384914676,,768485.5128205129,,,0.004444029303762703,
Habana Gaudi2,1,Deepspeed,meta-llama/Llama-2-7b-hf,128,64,2.0849592369049788,7858.18720577063,,840949.6666666666,,,0.009344420382397793,
Habana Gaudi2,1,Deepspeed,meta-llama/Llama-2-7b-hf,256,64,5.391198077937588,6078.055290547858,,819379.2727272727,,,0.0074178777677854635,
Habana Gaudi2,1,Deepspeed,meta-llama/Llama-2-7b-hf,512,64,15.788104373030365,4150.973318364315,,774551.375,,,0.005359196887829829,
Habana Gaudi2,2,Deepspeed,meta-llama/Llama-2-7b-hf,128,1,0.7589291810290888,337.3173761125781,,750585.25,,,0.00044940581514568543,
Habana Gaudi2,2,Deepspeed,meta-llama/Llama-2-7b-hf,256,1,1.5044495119946077,340.323816730272,,746324.0,,,0.00045600009745133744,
Habana Gaudi2,2,Deepspeed,meta-llama/Llama-2-7b-hf,512,1,3.042885964969173,336.52263403514496,,755419.0769230769,,,0.0004454780721263312,
Habana Gaudi2,2,Deepspeed,meta-llama/Llama-2-7b-hf,1024,1,6.232973088975996,328.57513914542864,,768828.24,,,0.0004273713191719241,
Habana Gaudi2,2,Deepspeed,meta-llama/Llama-2-7b-hf,2048,1,12.972860281006433,315.73607602919725,,774274.8076923077,,,0.0004077829639972852,
Habana Gaudi2,2,Deepspeed,meta-llama/Llama-2-7b-hf,128,16,0.9961633048951626,4111.775629429622,,843293.0,,,0.004875856469138985,
Habana Gaudi2,2,Deepspeed,meta-llama/Llama-2-7b-hf,256,16,2.1074127519968897,3887.23091489203,,841713.1111111111,,,0.004618237334762024,
Habana Gaudi2,2,Deepspeed,meta-llama/Llama-2-7b-hf,512,16,4.7982541309902444,3414.575291913256,,828178.75,,,0.004122993124266055,
Habana Gaudi2,2,Deepspeed,meta-llama/Llama-2-7b-hf,1024,16,12.10937615390867,2706.0023227887864,,846035.081632653,,,0.00319845167361952,
Habana Gaudi2,2,Deepspeed,meta-llama/Llama-2-7b-hf,2048,16,34.224012095015496,1914.9128342420406,,860803.4817518248,,,0.0022245644619663866,
Habana Gaudi2,2,Deepspeed,meta-llama/Llama-2-7b-hf,128,32,1.231921875034459,6649.7723321707035,,902574.8,,,0.0073675581593577654,
Habana Gaudi2,2,Deepspeed,meta-llama/Llama-2-7b-hf,256,32,2.745808696025051,5966.912415900704,,885301.5454545454,,,0.00673997740830451,
Habana Gaudi2,2,Deepspeed,meta-llama/Llama-2-7b-hf,512,32,6.784651210997254,4829.725063373381,,871316.75,,,0.005543018728118541,
Habana Gaudi2,2,Deepspeed,meta-llama/Llama-2-7b-hf,128,64,1.7499893970089033,9362.342439333444,,922625.5714285715,,,0.010147499407410762,
Habana Gaudi2,2,Deepspeed,meta-llama/Llama-2-7b-hf,256,64,4.150557441986166,7894.843152518697,,880810.5294117647,,,0.008963157102346565,
Habana Gaudi2,2,Deepspeed,meta-llama/Llama-2-7b-hf,512,64,10.734573566005565,6105.133063463326,,899601.7209302326,,,0.006786484420183542,
Habana Gaudi2,4,Deepspeed,meta-llama/Llama-2-7b-hf,128,1,0.7293244479224086,351.00976078514145,,788905.3333333334,,,0.0004449326756380674,
