Hardware,Num of Hardware,Framework,Model,Input Output Length,Batch Size,Latency,Throughput
Nvidia A100 GPU,1,DeepSpeed-MII,mistralai/Mistral-7B-v0.1,1024,1,16.277320861816406,125.81923139478256
Nvidia A100 GPU,1,DeepSpeed-MII,mistralai/Mistral-7B-v0.1,1024,16,24.70716118812561,1326.2551594048964
Nvidia A100 GPU,1,DeepSpeed-MII,mistralai/Mistral-7B-v0.1,1024,32,35.86422061920166,1827.336517245048
Nvidia A100 GPU,1,DeepSpeed-MII,mistralai/Mistral-7B-v0.1,1024,64,56.14018750190735,2334.726794340451
Nvidia A100 GPU,1,DeepSpeed-MII,mistralai/Mistral-7B-v0.1,2048,1,35.63583159446716,114.94049154267378
Nvidia A100 GPU,1,DeepSpeed-MII,mistralai/Mistral-7B-v0.1,2048,16,64.16955351829529,1021.2943118158852
Nvidia A100 GPU,1,DeepSpeed-MII,mistralai/Mistral-7B-v0.1,2048,32,101.88527774810791,1286.4665327217417
Nvidia A100 GPU,1,DeepSpeed-MII,mistralai/Mistral-7B-v0.1,2048,64,194.56872582435608,1347.3079956161425
Nvidia A100 GPU,2,DeepSpeed-MII,mistralai/Mistral-7B-v0.1,128,1,1.7816283702850342,143.68877610488644
Nvidia A100 GPU,2,DeepSpeed-MII,mistralai/Mistral-7B-v0.1,128,16,2.1990342140197754,1862.6358670939558
Nvidia A100 GPU,2,DeepSpeed-MII,mistralai/Mistral-7B-v0.1,128,32,2.6611015796661377,3078.4243873275104
Nvidia A100 GPU,2,DeepSpeed-MII,mistralai/Mistral-7B-v0.1,128,64,3.270404100418091,5009.778454566351
Nvidia A100 GPU,2,DeepSpeed-MII,mistralai/Mistral-7B-v0.1,256,1,3.2641959190368652,156.8533301000728
Nvidia A100 GPU,2,DeepSpeed-MII,mistralai/Mistral-7B-v0.1,256,16,4.077472448348999,2009.0877630128452
Nvidia A100 GPU,2,DeepSpeed-MII,mistralai/Mistral-7B-v0.1,256,32,5.148295164108276,3182.412716780941
Nvidia A100 GPU,2,DeepSpeed-MII,mistralai/Mistral-7B-v0.1,256,64,6.605686902999878,4960.574196321489
Nvidia A100 GPU,2,DeepSpeed-MII,mistralai/Mistral-7B-v0.1,512,1,6.293581008911133,162.70546109601355
Nvidia A100 GPU,2,DeepSpeed-MII,mistralai/Mistral-7B-v0.1,512,16,8.131381511688232,2014.9097636667602
Nvidia A100 GPU,2,DeepSpeed-MII,mistralai/Mistral-7B-v0.1,512,32,10.762069463729858,3044.767561706803
Nvidia A100 GPU,2,DeepSpeed-MII,mistralai/Mistral-7B-v0.1,512,64,14.632723331451416,4478.728840525375
Nvidia A100 GPU,2,DeepSpeed-MII,mistralai/Mistral-7B-v0.1,1024,1,13.088101625442505,156.47800258662477
Nvidia A100 GPU,2,DeepSpeed-MII,mistralai/Mistral-7B-v0.1,1024,16,18.247501134872437,1795.7527311713782
Nvidia A100 GPU,2,DeepSpeed-MII,mistralai/Mistral-7B-v0.1,1024,32,24.835474729537964,2638.8060109056437
Nvidia A100 GPU,2,DeepSpeed-MII,mistralai/Mistral-7B-v0.1,1024,64,36.342183351516724,3606.6077464916475
